Label,Value,Region
Nigeria,227882945,Sub-Saharan Africa
Ethiopia,128691692,Sub-Saharan Africa
"Congo, Dem. Rep.",105789731,Sub-Saharan Africa
Tanzania,66617606,Sub-Saharan Africa
South Africa,63212384,Sub-Saharan Africa
Kenya,55339003,Sub-Saharan Africa
Sudan,50042791,Sub-Saharan Africa
Uganda,48656601,Sub-Saharan Africa
Angola,36749906,Sub-Saharan Africa
Ghana,33787914,Sub-Saharan Africa
Mozambique,33635160,Sub-Saharan Africa
Madagascar,31195932,Sub-Saharan Africa
Cote d'Ivoire,31165654,Sub-Saharan Africa
Cameroon,28372687,Sub-Saharan Africa
Niger,26159867,Sub-Saharan Africa
Mali,23769127,Sub-Saharan Africa
Burkina Faso,23025776,Sub-Saharan Africa
Malawi,21104482,Sub-Saharan Africa
Zambia,20723965,Sub-Saharan Africa
Chad,19319064,Sub-Saharan Africa
Somalia,18358615,Sub-Saharan Africa
Senegal,18077573,Sub-Saharan Africa
Zimbabwe,16340822,Sub-Saharan Africa
Guinea,14405468,Sub-Saharan Africa
Benin,14111034,Sub-Saharan Africa
Rwanda,13954471,Sub-Saharan Africa
Burundi,13689450,Sub-Saharan Africa
South Sudan,11483374,Sub-Saharan Africa
