Label,Value,Region
Armenia,443.0,Asia
Cambodia,4120.0,Asia
China,108862.0,Asia
Georgia,312.0,Asia
India,154448.0,Asia
Indonesia,26300.0,Asia
Iran (Islamic Republic of),15699.0,Asia
Iraq,4969.0,Asia
Jordan,199.0,Asia
Kazakhstan,29670.0,Asia
Lebanon,139.0,Asia
Mongolia,1333.0,Asia
Myanmar,10990.0,Asia
Pakistan,30510.0,Asia
Philippines,5590.0,Asia
State of Palestine,42.0,Asia
Syrian Arab Republic,4661.0,Asia
Tajikistan,838.0,Asia
Thailand,17150.0,Asia
Türkiye,19881.0,Asia
Uzbekistan,4016.0,Asia
Viet Nam,6787.0,Asia
Yemen,1158.0,Asia
