Label,Value,Region
Brazil,211140729,Latin America & Caribbean
Mexico,129739759,Latin America & Caribbean
Colombia,52321152,Latin America & Caribbean
Argentina,45538401,Latin America & Caribbean
Peru,33845617,Latin America & Caribbean
"Venezuela, RB",28300854,Latin America & Caribbean
Chile,19658835,Latin America & Caribbean
Guatemala,18124838,Latin America & Caribbean
Ecuador,17980083,Latin America & Caribbean
Bolivia,12244159,Latin America & Caribbean
